,Id,Dataset,Filepath,Filename,Ext,Speaker,Text,Gender,Age,Race,Accent,Emotion,Intensity/Level
0,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_DFA_ANG_XX.wav,1001_DFA_ANG_XX.wav,.wav,Crema_1001,Don't forget a jacket,Male,51,Caucasian,Not Hispanic,Anger,Unspecified
1,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_DFA_DIS_XX.wav,1001_DFA_DIS_XX.wav,.wav,Crema_1001,Don't forget a jacket,Male,51,Caucasian,Not Hispanic,Disgust,Unspecified
2,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_DFA_FEA_XX.wav,1001_DFA_FEA_XX.wav,.wav,Crema_1001,Don't forget a jacket,Male,51,Caucasian,Not Hispanic,Fear,Unspecified
3,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_DFA_HAP_XX.wav,1001_DFA_HAP_XX.wav,.wav,Crema_1001,Don't forget a jacket,Male,51,Caucasian,Not Hispanic,Happy,Unspecified
4,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_DFA_NEU_XX.wav,1001_DFA_NEU_XX.wav,.wav,Crema_1001,Don't forget a jacket,Male,51,Caucasian,Not Hispanic,Neutral,Unspecified
5,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_DFA_SAD_XX.wav,1001_DFA_SAD_XX.wav,.wav,Crema_1001,Don't forget a jacket,Male,51,Caucasian,Not Hispanic,Sad,Unspecified
6,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_IEO_ANG_HI.wav,1001_IEO_ANG_HI.wav,.wav,Crema_1001,It's eleven o'clock,Male,51,Caucasian,Not Hispanic,Anger,High
7,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_IEO_ANG_LO.wav,1001_IEO_ANG_LO.wav,.wav,Crema_1001,It's eleven o'clock,Male,51,Caucasian,Not Hispanic,Anger,Low
8,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_IEO_ANG_MD.wav,1001_IEO_ANG_MD.wav,.wav,Crema_1001,It's eleven o'clock,Male,51,Caucasian,Not Hispanic,Anger,Medium
9,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_IEO_DIS_HI.wav,1001_IEO_DIS_HI.wav,.wav,Crema_1001,It's eleven o'clock,Male,51,Caucasian,Not Hispanic,Disgust,High
10,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_IEO_DIS_LO.wav,1001_IEO_DIS_LO.wav,.wav,Crema_1001,It's eleven o'clock,Male,51,Caucasian,Not Hispanic,Disgust,Low
11,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_IEO_DIS_MD.wav,1001_IEO_DIS_MD.wav,.wav,Crema_1001,It's eleven o'clock,Male,51,Caucasian,Not Hispanic,Disgust,Medium
12,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_IEO_FEA_HI.wav,1001_IEO_FEA_HI.wav,.wav,Crema_1001,It's eleven o'clock,Male,51,Caucasian,Not Hispanic,Fear,High
13,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_IEO_FEA_LO.wav,1001_IEO_FEA_LO.wav,.wav,Crema_1001,It's eleven o'clock,Male,51,Caucasian,Not Hispanic,Fear,Low
14,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_IEO_FEA_MD.wav,1001_IEO_FEA_MD.wav,.wav,Crema_1001,It's eleven o'clock,Male,51,Caucasian,Not Hispanic,Fear,Medium
15,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_IEO_HAP_HI.wav,1001_IEO_HAP_HI.wav,.wav,Crema_1001,It's eleven o'clock,Male,51,Caucasian,Not Hispanic,Happy,High
16,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_IEO_HAP_LO.wav,1001_IEO_HAP_LO.wav,.wav,Crema_1001,It's eleven o'clock,Male,51,Caucasian,Not Hispanic,Happy,Low
17,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_IEO_HAP_MD.wav,1001_IEO_HAP_MD.wav,.wav,Crema_1001,It's eleven o'clock,Male,51,Caucasian,Not Hispanic,Happy,Medium
18,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_IEO_NEU_XX.wav,1001_IEO_NEU_XX.wav,.wav,Crema_1001,It's eleven o'clock,Male,51,Caucasian,Not Hispanic,Neutral,Unspecified
19,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_IEO_SAD_HI.wav,1001_IEO_SAD_HI.wav,.wav,Crema_1001,It's eleven o'clock,Male,51,Caucasian,Not Hispanic,Sad,High
20,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_IEO_SAD_LO.wav,1001_IEO_SAD_LO.wav,.wav,Crema_1001,It's eleven o'clock,Male,51,Caucasian,Not Hispanic,Sad,Low
21,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_IEO_SAD_MD.wav,1001_IEO_SAD_MD.wav,.wav,Crema_1001,It's eleven o'clock,Male,51,Caucasian,Not Hispanic,Sad,Medium
22,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_IOM_ANG_XX.wav,1001_IOM_ANG_XX.wav,.wav,Crema_1001,I'm on my way to the meeting,Male,51,Caucasian,Not Hispanic,Anger,Unspecified
23,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_IOM_DIS_XX.wav,1001_IOM_DIS_XX.wav,.wav,Crema_1001,I'm on my way to the meeting,Male,51,Caucasian,Not Hispanic,Disgust,Unspecified
24,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_IOM_FEA_XX.wav,1001_IOM_FEA_XX.wav,.wav,Crema_1001,I'm on my way to the meeting,Male,51,Caucasian,Not Hispanic,Fear,Unspecified
25,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_IOM_HAP_XX.wav,1001_IOM_HAP_XX.wav,.wav,Crema_1001,I'm on my way to the meeting,Male,51,Caucasian,Not Hispanic,Happy,Unspecified
26,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_IOM_NEU_XX.wav,1001_IOM_NEU_XX.wav,.wav,Crema_1001,I'm on my way to the meeting,Male,51,Caucasian,Not Hispanic,Neutral,Unspecified
